country,continent,date,new_vaccinations,total_vaccinations,people_fully_vaccinated,vaccine_used,population,population_density,gdp_per_capita,human_development_index
Bermuda,North America,2021-02-14,,,,Pfizer/BioNTech,62273,1308.82,50669.315,
Bermuda,North America,2021-02-15,,13155,,Pfizer/BioNTech,62273,1308.82,50669.315,
Bermuda,North America,2021-02-16,,,,Pfizer/BioNTech,62273,1308.82,50669.315,
Bhutan,Asia,2021-02-10,,,,,771612,21.188,8708.597,0.654
Bhutan,Asia,2021-02-11,,,,,771612,21.188,8708.597,0.654
Bhutan,Asia,2021-02-12,,,,,771612,21.188,8708.597,0.654
Bhutan,Asia,2021-02-13,,,,,771612,21.188,8708.597,0.654
Bhutan,Asia,2021-02-14,,,,,771612,21.188,8708.597,0.654
Bhutan,Asia,2021-02-15,,,,,771612,21.188,8708.597,0.654
Bhutan,Asia,2021-02-16,,,,,771612,21.188,8708.597,0.654
Bolivia,South America,2021-02-10,,,,Sputnik V,11673029,10.202,6885.829,0.718
Bolivia,South America,2021-02-11,,10167,,Sputnik V,11673029,10.202,6885.829,0.718
Bolivia,South America,2021-02-12,,,,Sputnik V,11673029,10.202,6885.829,0.718
Bolivia,South America,2021-02-13,,,,Sputnik V,11673029,10.202,6885.829,0.718
Bolivia,South America,2021-02-14,,,,Sputnik V,11673029,10.202,6885.829,0.718
Bolivia,South America,2021-02-15,,,,Sputnik V,11673029,10.202,6885.829,0.718
Bolivia,South America,2021-02-16,,,,Sputnik V,11673029,10.202,6885.829,0.718
Bosnia and Herzegovina,Europe,2021-02-10,,,,,3280815,68.496,11713.895,0.78
Bosnia and Herzegovina,Europe,2021-02-11,,,,,3280815,68.496,11713.895,0.78
Bosnia and Herzegovina,Europe,2021-02-12,,,,,3280815,68.496,11713.895,0.78
Bosnia and Herzegovina,Europe,2021-02-13,,,,,3280815,68.496,11713.895,0.78
Bosnia and Herzegovina,Europe,2021-02-14,,,,,3280815,68.496,11713.895,0.78
Bosnia and Herzegovina,Europe,2021-02-15,,,,,3280815,68.496,11713.895,0.78
Bosnia and Herzegovina,Europe,2021-02-16,,,,,3280815,68.496,11713.895,0.78
Botswana,Africa,2021-02-10,,,,,2351625,4.044,15807.374,0.735
Botswana,Africa,2021-02-11,,,,,2351625,4.044,15807.374,0.735
Botswana,Africa,2021-02-12,,,,,2351625,4.044,15807.374,0.735
Botswana,Africa,2021-02-13,,,,,2351625,4.044,15807.374,0.735
Botswana,Africa,2021-02-14,,,,,2351625,4.044,15807.374,0.735
Botswana,Africa,2021-02-15,,,,,2351625,4.044,15807.374,0.735
Botswana,Africa,2021-02-16,,,,,2351625,4.044,15807.374,0.735
Brazil,South America,2021-02-10,300125,4120332,50655,Oxford/AstraZeneca,212559409,25.04,14103.452,0.765
Brazil,South America,2021-02-11,286503,4406835,80760,Oxford/AstraZeneca,212559409,25.04,14103.452,0.765
Brazil,South America,2021-02-12,289301,4696136,109866,Oxford/AstraZeneca,212559409,25.04,14103.452,0.765
Brazil,South America,2021-02-13,429070,5125206,178468,Oxford/AstraZeneca,212559409,25.04,14103.452,0.765
Brazil,South America,2021-02-14,111737,5236943,194230,Oxford/AstraZeneca,212559409,25.04,14103.452,0.765
Brazil,South America,2021-02-15,57036,5293979,217869,Oxford/AstraZeneca,212559409,25.04,14103.452,0.765
Brazil,South America,2021-02-16,315958,5609937,285620,Oxford/AstraZeneca,212559409,25.04,14103.452,0.765
Brunei,Asia,2021-02-10,,,,,437483,81.347,71809.251,0.838
Brunei,Asia,2021-02-11,,,,,437483,81.347,71809.251,0.838
Brunei,Asia,2021-02-12,,,,,437483,81.347,71809.251,0.838
Brunei,Asia,2021-02-13,,,,,437483,81.347,71809.251,0.838
Brunei,Asia,2021-02-14,,,,,437483,81.347,71809.251,0.838
Brunei,Asia,2021-02-15,,,,,437483,81.347,71809.251,0.838
Brunei,Asia,2021-02-16,,,,,437483,81.347,71809.251,0.838
Bulgaria,Europe,2021-02-10,3735,66163,18612,Moderna,6948445,65.18,18563.307,0.816
Bulgaria,Europe,2021-02-11,4960,71123,19688,Moderna,6948445,65.18,18563.307,0.816
Bulgaria,Europe,2021-02-12,3571,74694,20571,Moderna,6948445,65.18,18563.307,0.816
Bulgaria,Europe,2021-02-13,626,75320,20674,Moderna,6948445,65.18,18563.307,0.816
Bulgaria,Europe,2021-02-14,68,75388,20698,Moderna,6948445,65.18,18563.307,0.816
Bulgaria,Europe,2021-02-15,2048,77436,21323,Moderna,6948445,65.18,18563.307,0.816
Bulgaria,Europe,2021-02-16,3902,81338,22776,Moderna,6948445,65.18,18563.307,0.816
Burkina Faso,Africa,2021-02-10,,,,,20903278,70.151,1703.102,0.452
Burkina Faso,Africa,2021-02-11,,,,,20903278,70.151,1703.102,0.452
Burkina Faso,Africa,2021-02-12,,,,,20903278,70.151,1703.102,0.452
Burkina Faso,Africa,2021-02-13,,,,,20903278,70.151,1703.102,0.452
Burkina Faso,Africa,2021-02-14,,,,,20903278,70.151,1703.102,0.452
Burkina Faso,Africa,2021-02-15,,,,,20903278,70.151,1703.102,0.452
Burkina Faso,Africa,2021-02-16,,,,,20903278,70.151,1703.102,0.452
Burundi,Africa,2021-02-10,,,,,11890781,423.062,702.225,0.433
Burundi,Africa,2021-02-11,,,,,11890781,423.062,702.225,0.433
Burundi,Africa,2021-02-12,,,,,11890781,423.062,702.225,0.433
Burundi,Africa,2021-02-13,,,,,11890781,423.062,702.225,0.433
Burundi,Africa,2021-02-14,,,,,11890781,423.062,702.225,0.433
Burundi,Africa,2021-02-15,,,,,11890781,423.062,702.225,0.433
Burundi,Africa,2021-02-16,,,,,11890781,423.062,702.225,0.433
