tt0102267,Lifebreath
tt0065950,The Kremlin Letter
tt0473043,Hell to Pay
tt0076131,The Hazing
tt0923954,Truth About Kerry
tt0047898,Bride of the Monster
tt0022391,Sit Tight
tt8000908,Robert the Bruce
tt3115694,Starcrossed
tt0081552,Squeeze Play
tt0010418,Male and Female
tt0437086,Alita: Battle Angel
tt0061669,Fitzwilly
tt0437777,Something New
tt1137477,Scourge
tt5278214,The 4th
tt0120877,Vampires
tt0202623,The Third Wheel
tt0026914,Reckless
tt1840417,The Words
tt6140580,Off the Menu
tt1555440,Girltrash: All Night Long
tt2910342,Dakota's Summer
tt0027905,The Lonely Trail
tt0999872,Christmas Cottage
tt0068833,The Last House on the Left
tt0109442,Class of 1999 II: The Substitute
tt0232657,Sleepy Hollow High
tt2389162,American Muscle
tt0109515,Cyber Tracker
tt0299658,Chicago
tt0051758,I Want to Live!
tt0081562,Stir Crazy
tt0037534,A Bell for Adano
tt0094761,The Blob
tt0081088,Lunch Wagon
tt0977668,Too Young to Marry
tt0035324,Shut My Big Mouth
tt0094721,Beetlejuice
tt0181875,Almost Famous
tt1836212,All Superheroes Must Die
tt5691084,Dirt
tt0026621,Let 'em Have It
tt0044400,Battles of Chief Pontiac
tt0058525,Rio Conchos
tt0311289,Holes
tt0363029,Rick
tt0107695,No Escape No Return
tt0100811,Transylvania Twist
tt0995712,Buick Riviera
tt3038142,Inner Demons
tt0301036,Black Wine
tt0106983,Future Shock
tt1656190,Safe
tt0258068,The Quiet American
tt0120693,Half Baked
tt0083117,St. Helens
tt1109477,The Human Contract
tt0032019,They All Come Out
tt0097973,Night Shadow
tt0020949,Happy Days
tt0023236,The Monster Walks
tt0034162,The Sea Wolf
tt0069952,Deadly Weapons
tt3377798,The Library
tt0096933,Black Rain
tt0020253,The Pagan
tt5848326,Over-the-Rhine
tt0437217,Headhunter
tt0449061,London
tt5244974,Random Tropical Paradise
tt0300949,Apartment #5C
tt0114683,To the Limit
tt1291183,Diary of a Tired Black Man
tt0033062,Slightly Honorable
tt0090305,Weird Science
tt0038714,The Madonna's Secret
tt0037462,The White Cliffs of Dover
tt0047983,Desert Sands
tt0029050,Internes Can't Take Money
tt3922754,Ardennes Fury
tt1337022,The Shadows
tt0035970,Happy Land
tt1536437,Rushlights
tt0081186,Mother's Day
tt0117332,Phat Beach
tt1540116,Confined
tt0042989,Southside 1-1000
tt2837194,Rebound
tt0100140,Mermaids
tt0036418,Tender Comrade
tt0040271,A Date with Judy
tt0126260,The Delicate Art of the Rifle
tt0305858,Funny Valentine
tt0058920,The Art of Love
tt4607722,Blame
tt0023642,Union Depot
tt0096120,Slipping Into Darkness
tt0104695,Leap of Faith
tt0056625,Two Weeks in Another Town
tt0114394,Serpent's Lair
tt0100765,The Terror Within II
tt1001526,Megamind
tt0425094,Heavens Fall
tt0131704,The Adventures of Rocky & Bullwinkle
tt0082516,High Risk
tt4151206,Faces
tt0072706,The Black Bird
tt0032391,Devil's Island
tt1186818,Paper Covers Rock
tt3294746,The Public
tt0067961,Wanda
tt0226225,North Beach
tt0046198,Pony Express
tt0109959,Gunmen
tt8196692,Soul Hunters
tt0039390,For the Love of Rusty
tt0065884,Impasse
tt0120383,"Truth or Consequences, N.M."
tt0083798,Dead Men Don't Wear Plaid
tt0049089,The Come On
tt0090333,Wizards of the Lost Kingdom
tt0058700,The Last Man on Earth
tt0019071,The Last Command
tt0049285,Gun for a Coward
tt2221490,Low Tide
tt0038462,Decoy
tt0045334,Without Warning!
tt1634300,Role/Play
tt2372251,Down a Dark Hall
tt0057200,Johnny Cool
tt1568929,The Mooring
tt0155528,Bamboo Gods and Iron Men
tt3106120,See No Evil 2
tt1790885,Zero Dark Thirty
tt1129404,Another Harvest Moon
tt0444653,Keeping Mum
tt0093624,Night of the Demons
tt0076618,The Rescuers
tt2101383,Knight of Cups
tt4701724,Early Man
tt6803180,The Grave Caller
tt0115610,Bad Moon
tt7044076,The Cleaning Lady
tt0139699,Varsity Blues
tt0025335,Judge Priest
tt4144190,Wiener-Dog
tt3252998,About Scout
tt0099841,In the Spirit
tt0051629,Fort Massacre
tt1978479,Molly's Girl
tt0090856,Club Paradise
tt0042767,My Blue Heaven
tt0292527,Green Card Fever
tt4139124,Keanu
tt1292643,Artois the Goat
tt0363623,From Other Worlds
tt0061584,Doctor Dolittle
tt4284282,Scary Tales: Last Stop
tt0097630,Journey to the Center of the Earth
tt0052227,The Space Children
tt0025472,Marie Galante
tt0858436,Dragon
tt0102984,Stone Cold
tt1658801,Freeheld
tt3139482,Summit
tt0795405,It Is Fine! Everything Is Fine.
tt0082517,History of the World: Part I
tt0046829,Carnival Story
tt0048459,Our Miss Brooks
tt0024854,"Baby, Take a Bow"
tt0112433,Baby Face Nelson
tt0032846,No Time for Comedy
tt0338466,Stuck on You
tt0101883,The Firing Line
tt0086393,Superman III
tt0027438,The Charge of the Light Brigade
tt6423886,Happy Anniversary
tt0024325,Men Must Fight
tt0111194,A Simple Twist of Fate
tt5610554,Tully
tt0073107,Hester Street
tt0804461,Death Sentence
tt1153543,The Coverup
tt0113406,"In the Kingdom of the Blind, the Man with One Eye Is King"
tt0118564,Affliction
tt0088758,The Aviator
tt2047890,The Woodcarver
tt0055781,Beauty and the Beast
tt3089630,Artemis Fowl
tt0177971,The Perfect Storm
tt7983890,Ms. Purple
tt0086107,Pink Motel
tt4178092,The Gift
tt2396659,Before I Sleep
tt0044859,Lure of the Wilderness
tt3682546,Betrothed
tt0024598,The Song of Songs
tt1322264,The Dry Land
tt2766790,Holiday Miracle
tt0098627,Weekend at Bernie's
tt0113278,Heatseeker
tt0034882,I Married an Angel
tt0110668,Night of the Running Man
tt0025905,Transatlantic Merry-Go-Round
tt0116583,The Hunchback of Notre Dame
tt0379306,A Good Woman
tt0464054,House at the End of the Drive
tt0889146,My Name Is Jerry
tt0100134,Men Don't Leave
tt5848416,Walk. Ride. Rodeo.
tt0041986,Treasure of Monte Cristo
tt1403177,Hesher
tt0080868,Hide in Plain Sight
tt0119548,Little City
tt0273253,Haiku Tunnel
tt0036055,Jitterbugs
tt0035361,Song of the Islands
tt0055963,Escape from Zahrain
tt1303902,Someone's Knocking at the Door
tt0083584,Ashes and Embers
tt0063194,Kona Coast
tt0105676,Ulterior Motives
tt8233184,Livescream
tt0071802,Mama's Dirty Girls
tt0113026,The Fantasticks
tt1086772,Blended
tt6923740,Stella's Last Weekend
tt0192455,Picking Up the Pieces
tt2752736,The Stream
tt0808232,A Dog Year
tt0021531,War Nurse
tt0120716,Jakob the Liar
tt0061611,Eat Your Makeup
tt6772804,Escape Plan: The Extractors
tt1586265,What to Expect When You're Expecting
tt0166896,The Straight Story
tt0023856,Bureau of Missing Persons
tt0915460,Grizzly Park
tt0088800,The Big Bet
tt1307002,Redemption: A Mile from Hell
tt0875034,Nine
tt0087881,Paradise Motel
tt2375036,Dry Spell
tt0103184,V.I. Warshawski
tt1624996,Vampire
tt1225902,The Hungry Ghosts
tt7919810,The Turkey Bowl
tt0065852,Horror of the Blood Monsters
tt1613046,Make a Movie Like Spike
tt3113386,Where the Devil Dwells
tt0110803,Payback
tt0051489,Cop Hater
tt0094020,Square Dance
tt2190467,Safelight
tt1454700,Truth
tt0053917,Home from the Hill
tt0048628,Six Bridges to Cross
tt0070916,"Wicked, Wicked"
tt0037620,The Crime Doctor's Courage
tt0039501,It Happened in Brooklyn
tt0106796,Eight Hundred Leagues Down the Amazon
tt0068486,The Dirt Gang
tt1714828,Beauty and the Least: The Misadventures of Ben Banks
tt0211957,Blue Money
tt0062737,Blackbeard's Ghost
tt0079931,Something Short of Paradise
tt0250282,Teddy Bears' Picnic
tt0015002,Hot Water
tt0040082,Albuquerque
tt0403703,Yu-Gi-Oh! The Movie
tt0103621,Adventures in Dinosaur City
tt6108178,Disobedience
tt2422212,House of Cards
tt0117071,Moll Flanders
tt0032315,Castle on the Hudson
tt1754811,InAPPropriate Comedy
tt1474456,Lizard Boy
tt0122968,Assault of the Party Nerds 2: The Heavy Petting Detective
tt5630752,Fourplay
tt0403508,The Sisterhood of the Traveling Pants
tt0024122,His Double Life
tt2948530,Wild for the Night
tt0275170,The 4th Tenor
tt2385255,They Die by Dawn
tt0046676,About Mrs. Leslie
tt0083097,Smokey Bites the Dust
tt0116287,Fear
tt0119670,The Mighty
tt0282483,Fangs
tt0073486,One Flew Over the Cuckoo's Nest
tt3513548,Richard Jewell
tt0093143,The Hanoi Hilton
tt4510398,4Got10
tt0179182,Forever Mine
tt0088153,Songwriter
tt1073241,Nothing But the Truth
tt3168230,Mr. Holmes
tt3399888,Past Tense
tt7976208,The Haunting of Sharon Tate
tt1820402,Bomb Squad
tt0054613,All Hands on Deck
tt0098251,Sangre y arena
tt0099077,Awakenings
tt0455991,Deaden
tt0094637,Aloha Summer
tt1506998,Highland Park
tt8611700,Christmas at the Chateau
tt1260680,Pathfinders: In the Company of Strangers
tt0485924,Killing Ariel
tt0113758,Man with a Plan
tt0067800,Straw Dogs
tt0030491,Nancy Drew: Detective
tt0055774,Barabbas
tt1339098,The Hagstone Demon
tt9021234,The Legend of 5 Mile Cave
tt0031987,Streets of New York
tt0088247,The Terminator
tt0120703,How Stella Got Her Groove Back
tt0221069,Chasing Sleep
tt5853124,A Doggone Christmas
tt0290747,Man-Thing
tt0166219,Hoods
tt1748122,Moonrise Kingdom
tt0025408,"Little Man, What Now?"
tt0265252,Just Can't Get Enough
tt0424287,The Mostly Unfabulous Social Life of Ethan Green
tt0072730,A Boy and His Dog
tt6557704,Ultra Low
tt0362004,Palindromes
tt0104743,Live Wire
tt0104954,My New Gun
tt0100049,Longtime Companion
tt0075097,The Premonition
tt0041652,Miss Grant Takes Richmond
tt0087555,The Clairvoyant
tt0045345,You for Me
tt0477138,Kush
tt0195685,Erin Brockovich
tt2619512,The Big Take
tt0035372,Spy Smasher
tt0116330,My Forgotten Man
tt0044370,April in Paris
tt0023470,The Sign of the Cross
tt3741316,Bare
tt0253754,Star Trek: Nemesis
tt0122143,The Last Broadcast
tt0028677,California Straight Ahead!
tt0111175,Shrunken Heads
tt1956655,The Ganzfeld Haunting
tt0866435,Hotel California
tt0118119,Warhead
tt0416041,River's End
tt0033547,Double Cross
tt0795383,Frank
tt5896568,Age of Summer
tt0033708,Henry Aldrich for President
tt0104088,Desire and Hell at Sunset Motel
tt2361602,Five Star
tt0025453,The Man Who Reclaimed His Head
tt0242953,A Time for Dancing
tt0105103,Passed Away
tt0819735,Summerhood
tt4158624,3 Generations
tt2728784,After Darkness
tt0056675,War Hunt
tt0073302,Murph the Surf
tt2767440,Nocturne Six
tt5083736,Interstellar Wars
tt0932669,Older Than America
tt0024334,Midnight Mary
tt10765852,Metallica & San Francisco Symphony - S&M2
tt2350892,Bad Country
tt0045789,Francis Covers the Big Town
tt0100404,Presumed Innocent
tt1871257,Default
tt0085470,Easy Money
tt2125430,An American in Hollywood
tt0061782,The Hostage
tt0043987,Saddle Legion
tt0055612,Walk the Angry Beach
tt0048078,Five Guns West
tt2304933,The 5th Wave
tt0088967,Crimewave
tt0032637,The Invisible Woman
tt0867334,Jolene
tt0029030,The Hurricane
tt0076295,The Last House on Dead End Street
tt0057609,Twilight of Honor
tt0128823,The Vicious Sweet
tt0115571,The Arrival
tt6663582,The Spy Who Dumped Me
tt0118541,8 Heads in a Duffel Bag
tt0046330,Small Town Girl
tt0258100,Run Ronnie Run
tt2354049,Go Tell It on the Mountain
tt3643544,Glass Jaw
tt0094125,Terror Squad
tt1717724,The Wise Kids
tt0054816,Dondi
tt0193971,The Haunting of Hell House
tt0085758,Joe's Bed-Stuy Barbershop: We Cut Heads
